index,title,genres,cast,keywords,director
1103,The Fugitive,Adventure Action Thriller Crime Mystery,Harrison Ford Tommy Lee Jones Sela Ward Julianne Moore Joe Pantoliano,chicago showdown undercover surgeon death sentence,Andrew Davis
1104,The Bounty Hunter,Action,Gerard Butler Jennifer Aniston Gio Perez Siobhan Fallon Joel Garland,bounty hunter ex-husband ex-wife relationship,Andy Tennant
1105,Sleepers,Crime Drama Thriller,Robert De Niro Brad Pitt Kevin Bacon Jason Patric Ron Eldard,child abuse sadistic sexual abuse pastor repayment,Barry Levinson
1106,Rambo: First Blood Part II,Action Adventure Thriller War,Sylvester Stallone Richard Crenna Charles Napier Steven Berkoff Julia Nickson,usa vietnam veteran submachine gun prisoner prisoners of war,George P. Cosmatos
1107,The Juror,Drama Thriller,Demi Moore Alec Baldwin Joseph Gordon-Levitt Anne Heche James Gandolfini,jurors blackmail court case son trial,Brian Gibson
1108,Pinocchio,Animation Family,Mel Blanc Don Brodie Walter Catlett Marion Darlington Frankie Darro,italy lie magic fairy pinocchio,Ben Sharpsteen
1109,Heaven's Gate,Action Drama History Western,Kris Kristofferson Christopher Walken John Hurt Isabelle Huppert Sam Waterston,montana showdown brothel marshal dance,Michael Cimino
1110,Underworld: Evolution,Fantasy Action Science Fiction Thriller,Kate Beckinsale Scott Speedman Tony Curran Shane Brolly Derek Jacobi,budapest key vampire light werewolf,Len Wiseman
1111,Victor Frankenstein,Drama Science Fiction Thriller,James McAvoy Daniel Radcliffe Jessica Brown Findlay Andrew Scott Charles Dance,london england human experimentation frankenstein reanimated corpse frankenstein's monster,Paul McGuigan
1112,Finding Forrester,Drama,Sean Connery Rob Brown F. Murray Abraham Anna Paquin Busta Rhymes,upper class brother brother relationship scotland poetry based on novel,Gus Van Sant
1113,28 Days,Comedy Drama,Sandra Bullock Viggo Mortensen Dominic West Elizabeth Perkins Alan Tudyk,alcoholism urteil car crash wedding withdrawal,Betty Thomas
1114,Unleashed,Action Crime,Jet Li Morgan Freeman Bob Hoskins Vincent Regan Dylan Brown,martial arts hitman serial killer,Louis Leterrier
1115,The Sweetest Thing,Romance Comedy,Cameron Diaz Christina Applegate Thomas Jane Selma Blair Jason Bateman,roommate marriage aftercreditsstinger duringcreditsstinger,Roger Kumble
1116,The Firm,Drama Mystery Thriller,Tom Cruise Jeanne Tripplehorn Gene Hackman Holly Hunter Ed Harris,fbi law tennessee lawyer law firm,Sydney Pollack
1117,Charlie St. Cloud,Drama,Zac Efron Amanda Crew Charlie Tahan Augustus Prew Donal Logue,brother brother relationship based on novel sailing ghost young adult,Burr Steers
1118,The Mechanic,Action Thriller Crime,Jason Statham Ben Foster Donald Sutherland Mini Anden Tony Goldwyn,poison chicago prostitute martial arts assassin,Simon West
1119,21 Jump Street,Action Comedy Crime,Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper,male friendship high school parody crude humor based on tv series,Phil Lord
1120,Notting Hill,Romance Comedy Drama,Julia Roberts Hugh Grant Gina McKee Tim McInnerny Rhys Ifans,london england bookshop birthday new love film maker,Roger Michell
1121,Chicken Run,Animation Comedy Family,Mel Gibson Miranda Richardson Timothy Spall Imelda Staunton Jane Horrocks,chicken freedom escape chicken farm pie machine,Nick Park
1122,Along Came Polly,Comedy Romance,Ben Stiller Jennifer Aniston Philip Seymour Hoffman Debra Messing Alec Baldwin,beach honeymoon bride chance risk,John Hamburg
1123,Boomerang,Comedy Romance,Eddie Murphy Robin Givens Halle Berry David Alan Grier Grace Jones,role of women ladykiller success ladies' man chefin,Reginald Hudlin
1124,The Heat,Action Comedy Crime,Sandra Bullock Melissa McCarthy Demi\u00e1n Bichir Michael Rapaport Taran Killam,boston fbi buddy comedy,Paul Feig
1125,Cleopatra,Drama History Romance,Elizabeth Taylor Richard Burton Rex Harrison Roddy McDowall Martin Landau,ancient rome historical figure cleopatra julius caesar,Joseph L. Mankiewicz
1126,Here Comes the Boom,Comedy,Salma Hayek Kevin James Henry Winkler Joe Rogan Reggie Lee,high school teacher prize money physics teacher fighting movie budget cutting,Frank Coraci
1127,High Crimes,Drama Mystery Thriller Crime,Ashley Judd Morgan Freeman Jim Caviezel Amanda Peet Adam Scott,based on novel witness village court love,Carl Franklin
1128,The Mirror Has Two Faces,Comedy Drama Romance,Barbra Streisand Jeff Bridges Lauren Bacall George Segal Mimi Rogers,sex professor wedding woman director columbia university,Barbra Streisand
1129,The Mothman Prophecies,Drama Horror Mystery,Richard Gere Laura Linney Will Patton Bob Tracey Debra Messing,based on novel small town dream motel hallucination,Mark Pellington
1130,Brüno,Comedy,Sacha Baron Cohen Richard Bey Ron Paul Gustaf Hammarsten Clifford Ba\u00f1agale,gay fame mockumentary hollywood lgbt,Larry Charles
1131,Licence to Kill,Adventure Action Thriller,Timothy Dalton Carey Lowell Robert Davi Talisa Soto Anthony Zerbe,corruption florida secret identity liberation of prisoners drug traffic,John Glen
1132,Red Riding Hood,Fantasy Thriller Horror,Amanda Seyfried Gary Oldman Billy Burke Shiloh Fernandez Max Irons,winter fantasy fairy tale hood werewolf,Catherine Hardwicke
1133,15 Minutes,Action Crime Thriller,Robert De Niro Charlize Theron Edward Burns Kelsey Grammer Avery Brooks,new york female nudity prison prostitute rape,John Herzfeld
1134,Super Mario Bros.,Adventure Comedy Family Fantasy,Bob Hoskins John Leguizamo Dennis Hopper Samantha Mathis Fisher Stevens,saving the world brother brother relationship royalty dinosaur based on video game,Annabel Jankel
1135,Lord of War,Crime Drama Thriller,Nicolas Cage Bridget Moynahan Jared Leto Ethan Hawke Eamonn Walker,cold war weapon arms dealer,Andrew Niccol
1136,Hero,Drama Adventure Action History,Jet Li Tony Leung Chiu-Wai Maggie Cheung Donnie Yen Zhang Ziyi,countryside loss of lover right and justice patriot,Zhang Yimou
1137,One for the Money,Action Comedy Crime,Katherine Heigl Jason O'Mara Daniel Sunjata John Leguizamo Sherri Shepherd,bounty hunter based on novel romance framed bail jumper,Julie Anne Robinson
1138,The Interview,Action Comedy,James Franco Seth Rogen Lizzy Caplan Randall Park Diana Bang,cia coup d'etat north korea assassination attempt evil dictator,Seth Rogen
1139,The Warrior's Way,Adventure Fantasy Action Western Thriller,Kate Bosworth Jang Dong-gun Geoffrey Rush Danny Huston Ti Lung,assassin small town forest revenge deception,Sngmoo Lee
1140,Micmacs,Action Comedy Crime,Dany Boon Dominique Pinon Andr\u00e9 Dussollier Jean-Pierre Marielle Julie Ferrier,unemployment contortionist human cannonball,Jean-Pierre Jeunet
1141,8 Mile,Drama,Eminem Mekhi Phifer Brittany Murphy Kim Basinger Michael Shannon,individual street gang adolescence rap music hip-hop,Curtis Hanson
1142,Why I Did (Not) Eat My Father,Adventure Comedy Animation,Jamel Debbouze Ari\u00e9 Elmaleh M\u00e9lissa Theuriau Patrice Thibaud Christian Hecq,animation evolution humanity,Jamel Debbouze
1143,A Knight's Tale,Adventure Drama Romance Action,Heath Ledger Rufus Sewell Shannyn Sossamon Paul Bettany Laura Fraser,poetry knight tournament duel torture,Brian Helgeland
1144,The Medallion,Thriller Fantasy Action Comedy,Jackie Chan Lee Evans Claire Forlani Julian Sands John Rhys-Davies,detective medallion leather jacket wretch fighter,Gordon Chan
1145,The Sixth Sense,Mystery Thriller Drama,Bruce Willis Toni Collette Olivia Williams Haley Joel Osment Donnie Wahlberg,child abuse sense of guilt loss of child confidence psychology,M. Night Shyamalan
1146,Man on a Ledge,Action Thriller Crime,Sam Worthington Elizabeth Banks Jamie Bell Ed Harris Edward Burns,deception new york city rooftop diamond heist framed for a crime,Asger Leth
1147,The Big Year,Comedy,Owen Wilson Steve Martin Jack Black Rashida Jones Jim Parsons,helicopter based on novel honeymoon airplane birding,David Frankel
1148,The Karate Kid,Drama,Ralph Macchio Pat Morita William Zabka Martin Kove Chad McQueen,flat taskmaster karate egg kids and family,John G. Avildsen
1149,American Hustle,Drama Crime,Christian Bale Bradley Cooper Amy Adams Jeremy Renner Jennifer Lawrence,con artist scam mobster fbi agent,David O. Russell
1150,The Proposal,Comedy Romance Drama,Sandra Bullock Ryan Reynolds Mary Steenburgen Craig T. Nelson Betty White,fictitious marriage deportation immigration law romantic comedy alaska,Anne Fletcher
1151,Double Jeopardy,Crime Drama Mystery Thriller,Tommy Lee Jones Ashley Judd Bruce Greenwood Annabeth Gish Benjamin Weir,prison sailboat sailing trip new orleans women's prison,Bruce Beresford
1152,Back to the Future Part II,Adventure Comedy Family Science Fiction,Michael J. Fox Christopher Lloyd Lea Thompson Elisabeth Shue James Tolkan,skateboarding flying car car race delorean lightning,Robert Zemeckis
1153,Lucy,Action Science Fiction,Scarlett Johansson Morgan Freeman Choi Min-sik Amr Waked Julian Rhind-Tutt,artificial intelligence telepathy intelligence drug mule telekinesis,Luc Besson
1154,Fifty Shades of Grey,Drama Romance Thriller,Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk,based on novel perversion spanking billionaire bdsm,Sam Taylor-Johnson
1155,Spy Kids 3-D: Game Over,Action Adventure Comedy Family Science Fiction,Antonio Banderas Carla Gugino Alexa PenaVega Daryl Sabara Sylvester Stallone,video game intelligence liberation child hero mission,Robert Rodriguez
1156,A Time to Kill,Crime Drama Thriller,Matthew McConaughey Sandra Bullock Samuel L. Jackson Kevin Spacey Oliver Platt,ku klux klan rape mississippi jurors blackmail,Joel Schumacher
1157,Cheaper by the Dozen,Comedy,Steve Martin Bonnie Hunt Piper Perabo Tom Welling Hilary Duff,big family new job aspiring actor smart kid,Shawn Levy
1158,Lone Survivor,Action Drama Thriller War,Mark Wahlberg Taylor Kitsch Emile Hirsch Ben Foster Yousuf Azami,war survival navy seal military dangerous mission,Peter Berg
1159,A League of Their Own,Comedy,Tom Hanks Geena Davis Madonna Lori Petty Jon Lovitz,baseball world war ii sport baseball player female athlete,Penny Marshall
1160,The Conjuring 2,Horror,Patrick Wilson Vera Farmiga Madison Wolfe Frances O'Connor Lauren Esposito,london england england 1970s spirit single mother,James Wan
1161,The Social Network,Drama,Jesse Eisenberg Andrew Garfield Justin Timberlake Armie Hammer Max Minghella,hacker hacking creator frat party social network,David Fincher
1162,He's Just Not That Into You,Comedy Romance Drama,Ben Affleck Jennifer Aniston Drew Barrymore Jennifer Connelly Kevin Connolly,relationship ensemble cast duringcreditsstinger,Ken Kwapis
1163,Scary Movie 4,Comedy,Anna Faris Regina Hall Craig Bierko Bill Pullman Anthony Anderson,haunted house alien life-form riesen-ipod,David Zucker
1164,Scream 3,Horror Mystery,David Arquette Neve Campbell Courteney Cox Patrick Dempsey Scott Foley,mask metal detector film director ex-cop reporter,Wes Craven
1165,Back to the Future Part III,Adventure Comedy Family Science Fiction,Michael J. Fox Christopher Lloyd Mary Steenburgen Thomas F. Wilson Lea Thompson,railroad robber california delorean indian territory sports car,Robert Zemeckis
1166,Get Hard,Comedy,Will Ferrell Kevin Hart Alison Brie Craig T. Nelson T.I.,prison training framed embezzlement,Etan Cohen
1167,Dracula,Romance Horror,Gary Oldman Winona Ryder Anthony Hopkins Keanu Reeves Richard E. Grant,adultery maze vampire bite remake,Francis Ford Coppola
1168,Julie & Julia,Romance Drama,Meryl Streep Amy Adams Stanley Tucci Chris Messina Linda Emond,cooking book cookbook blog recipe,Nora Ephron
1169,42,Drama,Chadwick Boseman T.R. Knight Harrison Ford Nicole Beharie Christopher Meloni,baseball biography sport brooklyn dodgers,Brian Helgeland
1170,The Talented Mr. Ripley,Thriller Crime Drama,Matt Damon Gwyneth Paltrow Jude Law Cate Blanchett Philip Seymour Hoffman,venice italy gay new york lovesickness,Anthony Minghella
1171,Dumb and Dumber To,Comedy,Jim Carrey Jeff Daniels Rachel Melvin Kathleen Turner Brady Bluhm,friendship sequel road movie buddy comedy,Bobby Farrelly
1172,Eight Below,Adventure Drama Family,Paul Walker Bruce Greenwood Moon Bloodgood Jason Biggs Gerard Plunkett,expedition pilot survival sled dogs seal,Frank Marshall
1173,The Intern,Comedy,Robert De Niro Anne Hathaway Rene Russo Anders Holm JoJo Kushner,intern woman director,Nancy Meyers
1174,Ride Along 2,Action Comedy,Kevin Hart Ice Cube Olivia Munn Tika Sumpter Ken Jeong,police sequel police officer brother-in-law brother-in-law relationship black men,Tim Story
1175,The Last of the Mohicans,Action Adventure Drama History Romance,Daniel Day-Lewis Madeleine Stowe Russell Means Eric Schweig Jodhi May,secret love mohawk native american 18th century french and indian war,Michael Mann
1176,Ray,Drama Music,Jamie Foxx Kerry Washington Regina King Harry Lennix Clifton Powell,black people soul country music loss of brother 1970s,Taylor Hackford
1177,Sin City,Action Thriller Crime,Jessica Alba Devon Aoki Clive Owen Rosario Dawson Mickey Rourke,dystopia based on comic book held captive based on graphic novel black and white and color,Robert Rodriguez
1178,Vantage Point,Drama Action Thriller Crime,Dennis Quaid Matthew Fox Forest Whitaker Sigourney Weaver William Hurt,bomb terror spain usa president terrorist,Pete Travis
1179,"I Love You, Man",Comedy,Paul Rudd Jason Segel Rashida Jones Andy Samberg J.K. Simmons,poker bondage duringcreditsstinger,John Hamburg
1180,Shallow Hal,Comedy Romance,Gwyneth Paltrow Jack Black Jason Alexander Joe Viterelli Bruce McGill,overweight beauty hypnosis overweight man overweight woman,Bobby Farrelly
1181,JFK,Drama Thriller History,Kevin Costner Tommy Lee Jones Gary Oldman Kevin Bacon Michael Rooker,assassination cia homophobia new orleans vietnam war,Oliver Stone
1182,Big Momma's House 2,Comedy Crime,Martin Lawrence Nia Long Emily Procter Zachary Levi Mark Moses,undercover nanny computer virus stress undercover agent,John Whitesell
1183,The Mexican,Action Comedy Crime Romance,Brad Pitt Julia Roberts James Gandolfini J.K. Simmons Gene Hackman,kidnapping pistol,Gore Verbinski
1184,17 Again,Comedy,Zac Efron Leslie Mann Matthew Perry Tyler Steelman Allison Miller,high school bullying high school sports fake identity adult as a child,Burr Steers
1185,The Other Woman,Comedy Romance,Cameron Diaz Leslie Mann Kate Upton Don Johnson Nikolaj Coster-Waldau,infidelity revenge unfaithful boyfriend woman sitting on a toilet,Nick Cassavetes
1186,The Final Destination,Horror Mystery,Bobby Campo Shantel VanSanten Nick Zano Haley Webb Krista Allen,car race dying and death plan stock-car-race car crash,David R. Ellis
1187,Bridge of Spies,Thriller Drama,Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch,spy cia cold war soviet union pilot,Steven Spielberg
1188,Behind Enemy Lines,Action Drama Thriller War,Owen Wilson Gene Hackman Gabriel Macht Charles Malik Whitfield David Keith,helicopter war crimes sniper bosnia and herzegovina fighter pilot,John Moore
1189,Get Him to the Greek,Comedy,Jonah Hill Russell Brand Rose Byrne Elisabeth Moss Colm Meaney,aftercreditsstinger,Nicholas Stoller
1190,Shall We Dance?,Drama Romance Comedy,Richard Gere Jennifer Lopez Susan Sarandon Lisa Ann Walter Stanley Tucci,jealousy wife husband relationship dancing master,Peter Chelsom
1191,Small Soldiers,Comedy Adventure Fantasy Science Fiction Action,Gregory Smith Kirsten Dunst Denis Leary Phil Hartman David Cross,defense industry toy shop technical toy soldier prototype,Joe Dante
1192,Spawn,Action Adventure Fantasy Horror Science Fiction,Michael Jai White Martin Sheen John Leguizamo Theresa Randle Nicol Williamson,anti hero secret agent fistfight based on comic book burn victim,Mark A.Z. Dipp\u00e9
1193,The Count of Monte Cristo,Action Adventure Drama Thriller,Jim Caviezel Guy Pearce Richard Harris James Frain Dagmara Domi\u0144czyk,loss of lover lover (female) ex-lover torture napoleon bonaparte,Kevin Reynolds
1194,The Lincoln Lawyer,Crime Drama Thriller,Matthew McConaughey Marisa Tomei Ryan Phillippe William H. Macy Josh Lucas,judge arrest jury private investigator,Brad Furman
